State,Overall Homeless,Sheltered Total Homeless,Unsheltered Homeless,Overall Homeless Individuals,Overall Homeless People in Families,Overall Chronically Homeless,Overall Homeless Veterans,Year
LA,5226,3651,1575,3908,1318,1115,575,2013
MA,19029,18179,850,6694,12335,2115,1253,2013
MD,8205,6283,1922,5221,2984,1480,673,2013
ME,3016,2954,62,1563,1453,176,164,2013
MI,11527,9339,2188,7236,4291,1106,1100,2013
MN,8214,7299,915,3728,4486,1350,349,2013
MO,8581,6501,2080,4652,3929,1037,843,2013
MP, , , , , , , ,2013
MS,2403,1083,1320,1753,650,475,210,2013
MT,1878,1094,784,1211,667,227,309,2013
NC,12168,9013,3155,7530,4638,1842,1123,2013
ND,2069,674,1395,1230,839,179,241,2013
NE,3145,2972,173,1892,1253,414,183,2013
NH,1447,1245,202,798,649,255,125,2013
NJ,12002,10603,1399,6093,5909,1237,540,2013
NM,2819,2391,428,1786,1033,525,243,2013
NV,7039,3698,3341,6200,839,724,790,2013
NY,77430,73273,4157,31235,46195,6317,4659,2013
OH,12325,10987,1338,7611,4714,1753,1212,2013
OK,4408,3262,1146,3179,1229,719,437,2013
OR,13822,6432,7390,8994,4828,3043,1494,2013
PA,15086,13727,1359,7973,7113,1681,1462,2013
PR,4128,1402,2726,3470,658,2130,82,2013
RI,1384,1267,117,862,522,251,97,2013
SC,6544,3411,3133,4736,1808,483,636,2013
SD,1094,755,339,557,537,217,125,2013
TN,9528,6321,3207,6909,2619,2219,991,2013
TX,29615,17525,12090,20758,8857,5535,3878,2013
UT,3277,2859,418,1959,1318,454,327,2013
VA,7625,6603,1022,4532,3093,1356,719,2013
VI,482,119,363,444,38,87,33,2013
VT,1454,1270,184,701,753,217,128,2013
WA,17760,12707,5053,10617,7143,2196,1318,2013
WI,6104,5736,368,3005,3099,521,552,2013
WV,2240,1612,628,1544,696,432,329,2013
WY,953,501,452,677,276,244,137,2013
AK,1784,1639,145,1209,575,206,178,2014
AL,4561,3518,1043,3115,1446,729,542,2014
AR,2936,1503,1433,2303,633,519,361,2014
AZ,10495,7926,2569,6194,4301,959,858,2014
CA,113952,42515,71437,90765,23187,31078,12096,2014
CO,10028,8083,1945,5573,4455,1621,753,2014
CT,4450,3531,919,3069,1381,1215,295,2014
DC,7748,7352,396,3953,3795,2029,406,2014
DE,901,864,37,584,317,91,93,2014
FL,41542,19851,21691,28730,12812,7989,4552,2014
GA,16521,8214,8307,12403,4118,3004,1443,2014
GU,1356,126,1230,332,1024,67,36,2014
HI,6918,3813,3105,3750,3168,1301,593,2014
IA,3122,2926,196,1544,1578,244,202,2014
ID,2104,1468,636,1234,870,244,215,2014
IL,13107,11409,1698,7350,5757,1488,1234,2014
IN,5971,5568,403,3953,2018,596,725,2014
KS,2783,2534,249,1533,1250,320,393,2014
KY,5089,4258,831,3352,1737,727,600,2014
LA,4606,3503,1103,3444,1162,776,437,2014
MA,21237,20478,759,6788,14449,3311,1264,2014
MD,7856,6267,1589,4980,2876,1740,654,2014
ME,2726,2633,93,1348,1378,244,152,2014
MI,12227,10075,2152,7535,4692,1293,1122,2014
MN,8377,7582,795,3652,4725,1235,317,2014
MO,7282,6309,973,4307,2975,997,652,2014
MP, , , , , , , ,2014
MS,2226,1405,821,1714,512,282,279,2014
MT,1745,911,834,1167,578,270,256,2014
NC,11491,8874,2617,7498,3993,1431,1164,2014
ND,1258,794,464,886,372,115,151,2014
NE,3026,2917,109,1893,1133,426,241,2014
NH,1376,1243,133,795,581,338,171,2014
NJ,11671,10736,935,6446,5225,1399,630,2014
NM,2746,2318,428,1804,942,709,318,2014
NV,8582,4797,3785,7356,1226,705,1036,2014
NY,80590,76487,4103,32643,47947,7212,2542,2014
OH,11823,10720,1103,7704,4119,1481,1236,2014
OK,4191,3259,932,2964,1227,671,408,2014
OR,12164,6101,6063,7988,4176,2695,1292,2014
PA,15333,14301,1032,8359,6974,1607,1411,2014
PR,4132,1406,2726,3432,700,2063,87,2014
RI,1190,1170,20,779,411,204,108,2014
SC,5057,3249,1808,3813,1244,273,703,2014
SD,885,830,55,490,395,118,132,2014
TN,9415,6383,3032,6800,2615,2195,1142,2014
TX,28495,18228,10267,19177,9318,5416,2718,2014
UT,3081,2768,313,1729,1352,422,317,2014
VA,7020,6330,690,4234,2786,1021,620,2014
VI,448,85,363,425,23,88,32,2014
VT,1559,1396,163,823,736,283,120,2014
WA,18442,12540,5902,11390,7052,2535,1433,2014
WI,6055,5712,343,2929,3126,524,520,2014
WV,2013,1583,430,1488,525,482,333,2014
WY,757,563,194,463,294,144,116,2014
AK,1956,1639,317,1342,614,222,180,2015
AL,3970,2943,1027,2868,1102,607,474,2015
AR,2560,1678,882,1833,727,623,456,2015
AZ,9896,6939,2957,6548,3348,1366,1220,2015
CA,115738,42039,73699,93156,22582,32227,11311,2015
CO,9953,7134,2819,5729,4224,1877,950,2015
CT,4047,3421,626,2719,1328,583,282,2015
DC,7298,6754,544,3821,3477,1790,408,2015
DE,953,916,37,602,351,80,79,2015
FL,35900,18883,17017,26325,9575,6540,3926,2015
GA,13790,7987,5803,9702,4088,2137,1548,2015
GU,1280,87,1193,306,974,153,23,2015
HI,7620,3777,3843,4307,3313,1534,692,2015
IA,3081,2878,203,1501,1580,275,207,2015
ID,1966,1497,469,1172,794,245,249,2015
IL,13177,10463,2714,8152,5025,1912,1226,2015
IN,5863,5280,583,3914,1949,703,790,2015
KS,2588,2283,305,1466,1122,379,311,2015
KY,4538,3796,742,3151,1387,457,591,2015
LA,4081,2890,1191,3217,864,773,392,2015
MA,21135,20542,593,6378,14757,2561,1133,2015
MD,8390,6594,1796,5383,3007,1847,714,2015
ME,2372,2313,59,1219,1153,217,151,2015
MI,10516,9444,1072,6546,3970,935,1067,2015
MN,7546,6705,841,3622,3924,1396,297,2015
MO,6482,5411,1071,3434,3048,1025,540,2015
MP, , , , , , , ,2015
MS,1983,1141,842,1475,508,243,206,2015
MT,1709,837,872,1127,582,166,277,2015
NC,10685,8260,2425,7156,3529,1364,1092,2015
ND,1305,819,486,864,441,138,137,2015
NE,2744,2621,123,1720,1024,322,247,2015
NH,1445,1313,132,778,667,317,138,2015
NJ,10098,9124,974,6189,3909,1410,696,2015
NM,2629,2175,454,1666,963,716,278,2015
NV,8743,4528,4215,7858,885,594,860,2015
NY,88250,84228,4022,36135,52115,7116,2399,2015
OH,11182,10083,1099,7565,3617,1275,1183,2015
OK,3777,2999,778,2781,996,581,351,2015
OR,13226,5831,7395,9461,3765,4011,1464,2015
PA,15421,13993,1428,8605,6816,1590,1375,2015
PR,4518,1421,3097,3929,589,1756,164,2015
RI,1111,1075,36,706,405,130,107,2015
SC,5354,3458,1896,3934,1420,1020,681,2015
SD,1036,900,136,630,406,95,177,2015
TN,9123,5879,3244,6516,2607,1650,945,2015
TX,23678,16192,7486,16265,7413,4304,2393,2015
UT,3025,2799,226,1809,1216,233,337,2015
VA,7001,6190,811,4190,2811,1158,604,2015
VI,337,85,252,308,29,22,34,2015
VT,1523,1373,150,910,613,166,119,2015
WA,19419,12298,7121,12526,6893,2482,1293,2015
WI,6057,5615,442,2992,3065,464,534,2015
WV,1835,1403,432,1414,421,386,305,2015
WY,798,507,291,500,298,102,112,2015
AK,1940,1498,442,1527,413,122,168,2016
AL,4111,2893,1218,3019,1092,420,373,2016
AR,2463,1616,847,1838,625,503,222,2016
AZ,9707,6463,3244,6659,3048,1395,1036,2016
CA,118142,39752,78390,97660,20482,31548,9612,2016
CO,10550,7611,2939,6450,4100,1829,1181,2016
CT,3902,3229,673,2570,1332,467,216,2016
DC,8350,8032,318,3683,4667,1597,350,2016
DE,1070,1019,51,753,317,74,107,2016
FL,33559,18198,15361,24201,9358,5895,2902,2016
GA,12909,7543,5366,9265,3644,1815,1055,2016
GU,1085,112,973,227,858,55,21,2016
HI,7921,3613,4308,4590,3331,1949,670,2016
IA,3064,2921,143,1543,1521,184,170,2016
ID,2247,1509,738,1284,963,337,267,2016
IL,11590,9736,1854,6986,4604,1024,949,2016
IN,5798,5107,691,3824,1974,589,663,2016
KS,2255,1973,282,1228,1027,362,169,2016
KY,4237,3531,706,2949,1288,382,512,2016
LA,3994,2853,1141,3176,818,570,400,2016
MA,19608,18848,760,6434,13174,2325,949,2016
MD,7689,6161,1528,4983,2706,1364,555,2016
ME,2241,2121,120,1321,920,217,146,2016
MI,9316,8356,960,5803,3513,776,822,2016
MN,7341,6452,889,3669,3672,873,279,2016
MO,6194,4978,1216,3810,2384,1136,575,2016
MP, , , , , , , ,2016
MS,1738,889,849,1299,439,183,144,2016
MT,1418,788,630,844,574,137,165,2016
NC,9559,7250,2309,6396,3163,1184,888,2016
ND,923,707,216,662,261,120,116,2016
NE,2754,2653,101,1880,874,233,219,2016
NH,1366,1223,143,827,539,281,123,2016
NJ,8895,7461,1434,5540,3355,822,556,2016
NM,2263,1809,454,1556,707,649,214,2016
NV,7398,3471,3927,6853,545,347,851,2016
NY,86352,82761,3591,35315,51037,5368,1248,2016
OH,10404,9266,1138,6946,3458,778,930,2016
OK,4107,3087,1020,2997,1110,696,358,2016
OR,13238,5236,8002,9379,3859,3460,1341,2016
PA,15339,13664,1675,8599,6740,1325,1136,2016
PR,4418,1321,3097,3799,619,1772,146,2016
RI,1160,1123,37,859,301,144,89,2016
SC,5051,3361,1690,3758,1293,988,738,2016
SD,1072,887,185,548,524,44,120,2016
TN,8779,5773,3006,6652,2127,1782,831,2016
TX,23122,16214,6908,15959,7163,3689,1768,2016
